id,name,breeder,species,auto_flower,flower_time,image
1,Af-Pak,1,1,0,55,https://en.seedfinder.eu/pics/01seeds/210Beans/210Beans_-_Af-Pak_thumb.jpg
2,"00 Cheese",2,3,0,65,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_00_Cheese_thumb.jpg
3,"Alien BubbleGum",3,1,0,56,https://en.seedfinder.eu/pics/01seeds/207_Seeds/207_Seeds_-_Alien_BubbleGum_thumb.jpg
4,"Cherry OG Kush",4,1,0,65,https://en.seedfinder.eu/pics/01seeds/420-Seeds/420-Seeds_-_Cherry_OG_Kush_thumb.jpg
5,"Ak 420",5,2,0,53,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_Ak_420_thumb.jpg
6,AK-48,6,3,0,56,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_AK-48_thumb.jpg
7,"Austrian Queen",7,3,0,60,https://en.seedfinder.eu/pics/01seeds/ABC_Seeds/ABC_Seeds_-_Austrian_Queen_thumb.jpg
8,BlackberryKush,1,1,0,55,https://en.seedfinder.eu/pics/01seeds/210Beans/210Beans_-_BlackberryKush_thumb.jpg
9,"Grape Ape",4,1,0,60,https://en.seedfinder.eu/pics/01seeds/420-Seeds/420-Seeds_-_Grape_Ape_thumb.jpg
10,"Ak47 Auto",5,7,1,70,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_Ak47_Auto_thumb.jpg
11,"Amnesia Haze",6,2,0,77,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_Amnesia_Haze_thumb.jpg
12,"00 Kush",2,1,0,55,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_00_Kush_thumb.jpg
13,Pak-Man,1,1,0,55,https://en.seedfinder.eu/pics/01seeds/210Beans/210Beans_-_Pak-Man_thumb.jpg
14,"Blackberry Haze",7,3,0,67,https://en.seedfinder.eu/pics/01seeds/ABC_Seeds/ABC_Seeds_-_Blackberry_Haze_thumb.jpg
15,"Mango Hash",4,2,0,70,https://en.seedfinder.eu/pics/01seeds/420-Seeds/420-Seeds_-_Mango_Hash_thumb.jpg
16,"Auto Bluekush",10,5,1,70,https://en.seedfinder.eu/pics/01seeds/AutoFem_Seeds/AutoFem_Seeds_-_Auto_Bluekush_thumb.jpg
17,Amnesia,5,2,0,60,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_Amnesia_thumb.jpg
18,"Apple Jack",6,2,0,70,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_Apple_Jack_thumb.jpg
19,Ambulance,11,3,0,63,https://en.seedfinder.eu/pics/01seeds/303_Seeds/303_Seeds_-_Ambulance_thumb.jpg
20,"00 Skunk",2,3,0,53,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_00_Skunk_thumb.jpg
21,"Bubble Bobble",7,3,0,70,https://en.seedfinder.eu/pics/01seeds/ABC_Seeds/ABC_Seeds_-_Bubble_Bobble_thumb.jpg
22,"Platinum Jack",4,2,0,75,https://en.seedfinder.eu/pics/01seeds/420-Seeds/420-Seeds_-_Platinum_Jack_thumb.jpg
23,"Amnesia Auto",5,7,1,84,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_Amnesia_Auto_thumb.jpg
24,"Auto Bud",10,7,1,65,https://en.seedfinder.eu/pics/01seeds/AutoFem_Seeds/AutoFem_Seeds_-_Auto_Bud_thumb.jpg
