,name,keywords
0,Mandala #1,Lilac Bubble Gum Stress Jasmine Spicy Head Meditativ Spacy / Confusedly Microbiological Relaxing Body Exhilarating Lime Sour Apricot Tree Nervous / Fidgety Apple Maple Peach Lemon Sugar Thought provoking Pear Pine Fruity Sweet Uplifting Grape Calming Acidic Appetizing Psychedelic Raspberry Hot Mint Tar Light headed Racy Paranoia Sleepy Pain numbing Honey Sandalwood Sweet Lemon Wood Bitter Aphrodisiac Citrus Activate Orange Blossom Earth Hashish Tropical Berry Chemical Floral Cantaloupe Nectar Cedarwood Cherry Diesel Orange Licorice Blood Orange Energetic Apricot
1,White Widow,Pineapple Spicy Cloves Basilicum Head Meditativ Spacy / Confusedly Microbiological Relaxing Peanut Body Soda Tangerine Exhilarating Couch Lock Sour Thought provoking Narcotic Rot Nervous / Fidgety Maple Dairy Banana Sugar Chalk Pistachio Pine Fruity Mold Sweet Herbs Butter Grape Uplifting Acidic Calming Energetic Fennel Psychedelic Appetizing Hot Fresh Nuts Light headed Sleepy Rose Sesame Racy Rosted Nuts Pain numbing Honey Hazelnut Dizzy Sweat Lemon Grass Sandalwood Wood Bitter Alcohol Aphrodisiac Citrus Activate Leather Earth Hashish Sage Tropical Berry Walnut Orange Floral Nectar Licorice Tonsil Nuts Apricot
2,Cheese,Bubble Gum Pineapple Spicy Cloves Head Meditativ Violet Cheese Microbiological Relaxing Spacy / Confusedly Thyme Body Couch Lock Mango Tangerine Exhilarating Sour Narcotic Nervous / Fidgety Energetic Creeps Dairy Sugar Thought provoking Pine Fruity Musky Kiwi Passion Fruit Sweet Butter Sour Cream Herbs Uplifting Calming Organic Appetizing Psychedelic Hot Light headed Sleepy Racy Medicine Pain numbing Dizzy Sandalwood Wood Bitter Cranberry Aphrodisiac Citrus Activate Orange Blossom Earth Tropical Berry Blackberry Orange Floral Cantaloupe Cedarwood Chemical Hot Milk Nuts
3,Purple Orange CBD,Lilac Jasmine Spicy Head Meditativ Spacy / Confusedly Microbiological Relaxing Thyme Body Couch Lock Poison Exhilarating Narcotic Sour Metal Rot Peach Lemon Sugar Thought provoking Pine Fruity Musky Sweet Herbs Grape Mold Uplifting Acidic Calming Organic Appetizing Psychedelic Hot Tar Light headed Sleepy Rose Racy Medicine Pain numbing Dizzy Lemon Grass Sweet Lemon Wood Bitter Alcohol Citrus Activate Earth Hashish Sage Tropical Berry Orange Floral Chemical Cedarwood Diesel Energetic Apricot
4,Green Poison,Garlic Spicy Cloves Dill Coughsyrup Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Thyme Cucumber Soda Pepper Poison Saffron Metal Sour Lime Rot Creeps Maple Narcotic Lemon Banana Chocolate Parsley Sugar Thought provoking Pine Fruity Musky Passion Fruit Herbs Sweet Calming Vinegar Onion Couch Lock Organic Body Fennel Psychedelic Appetizing Hot Mint Ginger Paranoia Sleepy Pain numbing Honey Sweat Lemon Grass Sandalwood Sweet Lemon Bitter Alcohol Aphrodisiac Citrus Leather Earth Marshmallow Hashish Tropical Chives Chemical Glue Cantaloupe Cedarwood Coffee Diesel Tee
5,Mandarin Haze,Bubble Gum Pineapple Spicy Head Meditativ Spearmint Microbiological Relaxing Spacy / Confusedly Thyme Cucumber Body Tangerine Exhilarating Lime Sour Couch Lock Narcotic Rot Strawberry Peach Lemon Tobacco Sugar Thought provoking Pine Fruity Musky Sweet Herbs Grape Mold Uplifting Acidic Calming Organic Energetic Psychedelic Appetizing Raspberry Hot Mint Tar Fresh Nuts Light headed Racy Sleepy Rosted Nuts Pain numbing Dizzy Nuts Sweet Lemon Wood Bitter Citrus Activate Earth Tropical Berry Orange Floral Blood Orange Chemical Cherry Diesel Coffee Tee
6,Rhino Ryder,Pineapple Jasmine Spicy Cloves Curry Coughsyrup Head Grapefruit Meditativ Spearmint Cheese Microbiological Relaxing Spacy / Confusedly Body Mango Tangerine Lime Sour Pepper Narcotic Dairy Thought provoking Pistachio Pine Fruity Musky Sweet Kiwi Herbs Uplifting Calming Vinegar Organic Appetizing Psychedelic Hot Ginger Mint Light headed Sleepy Rosted Nuts Pain numbing Dizzy Lemon Grass Wood Bitter Cranberry Citrus Activate Earth Hashish Tropical Berry Orange Floral Cantaloupe Cedarwood Chemical Nuts Vanilla
7,White Rhino,Bubble Gum Stress Spicy Head Blueberry Spacy / Confusedly Microbiological Relaxing Body Couch Lock Mango Exhilarating Lime Sour Narcotic Creeps Lemon Chocolate Sugar Thought provoking Pine Fruity Passion Fruit Sweet Grape Herbs Uplifting Calming Organic Appetizing Psychedelic Paranoia Light headed Sleepy Racy Pain numbing Dizzy Sandalwood Bitter Citrus Activate Earth Hashish Tropical Berry Blackberry Orange Floral Chemical Nectar Coffee Diesel Energetic Vanilla
8,The Church,Lilac Jasmine Spicy Cloves Basilicum Head Meditativ Violet Microbiological Relaxing Spacy / Confusedly Thyme Peanut Body Couch Lock Energetic Lime Sour Narcotic Rot Lemon Thought provoking Pine Fruity Musky Sweet Herbs Uplifting Calming Acidic Appetizing Psychedelic Hot Mint Paranoia Sleepy Rose Rosted Nuts Pain numbing Honey Sandalwood Sweet Lemon Bitter Citrus Earth Hashish Sage Tropical Berry Floral Cedarwood Chestnut Nuts Vanilla
9,KC 36,Spicy Basilicum Dill Head Meditativ Spearmint Microbiological Relaxing Spacy / Confusedly Thyme Body Couch Lock Energetic Exhilarating Lime Sour Metal Narcotic Lemon Tobacco Chocolate Sugar Thought provoking Pine Fruity Musky Sweet Herbs Uplifting Calming Acidic Organic Appetizing Psychedelic Hot Mint Tar Light headed Sleepy Salty Medicine Pain numbing Dizzy Lemon Grass Sandalwood Sweet Lemon Cocoa Bitter Wood Citrus Activate Leather Earth Hashish Sage Orange Floral Chemical Cedarwood Glue Charcoal Diesel Tee
